tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
7.3,3.1,9.0,1.8,,,2.3,,1024.5,
9.5,8.0,11.0,,,225.0,11.6,,1025.2,
9.4,5.6,11.2,2.0,,233.0,16.8,,1018.5,
5.7,2.8,9.5,3.8,,,,,1014.8,
7.1,1.9,,,,,,,,
8.8,,,,,,,,,
8.8,5.7,11.2,,,217.0,17.6,,1017.2,
8.3,5.5,10.3,,,241.0,16.3,,1016.4,
2.9,,7.2,,,,,,,
1.3,-5.2,6.8,0.0,,,5.7,,,
8.9,7.4,10.1,,,213.0,16.7,,1032.4,
7.3,5.3,8.3,1.5,,207.0,23.2,,1023.4,
4.7,2.3,6.4,2.5,,290.0,13.8,,1015.2,
4.0,1.9,5.9,0.8,,350.0,11.6,,1022.9,
5.2,3.3,6.7,,,36.0,12.7,,1036.4,
4.6,3.4,6.7,,,323.0,7.5,,1040.2,
5.0,2.0,8.8,,,289.0,11.4,,1037.6,
6.6,3.8,8.1,,,322.0,13.0,,1034.9,
6.1,4.1,7.0,0.8,,4.0,11.5,,1036.8,
4.2,2.1,5.3,,,275.0,11.1,,1034.5,
6.3,5.1,8.7,,,292.0,12.5,,1032.4,
5.4,3.8,7.3,1.8,,303.0,20.6,,1020.1,
3.6,0.7,6.6,1.5,,344.0,14.7,,1024.2,
3.7,2.3,4.8,,,7.0,8.5,,1025.1,
3.9,1.9,5.7,,,250.0,7.7,,1029.1,
4.6,3.1,7.2,,,253.0,9.9,,1032.4,
3.0,1.2,6.3,,,250.0,11.8,,1029.4,
5.9,1.6,8.9,,,239.0,21.6,,1014.7,
11.5,8.5,13.1,,,252.0,31.7,,1000.0,
12.0,11.1,13.1,1.5,,252.0,26.8,,1012.6,
11.7,10.8,13.0,1.5,,242.0,24.0,,1019.9,
10.0,9.4,10.8,0.8,,206.0,19.1,,1015.1,
7.9,4.9,9.8,,,295.0,15.1,,1021.1,
7.5,5.7,9.2,,,243.0,13.0,,1033.2,
9.7,8.1,11.3,1.5,,234.0,20.6,,1031.6,
9.2,7.5,11.9,,,224.0,15.1,,1026.2,
10.5,8.5,12.0,,,221.0,17.6,,1015.9,
8.6,6.3,11.5,5.1,,236.0,22.8,,1010.2,
9.0,5.0,13.7,1.8,,255.0,27.7,,1006.0,
7.3,3.6,10.9,,,251.0,19.9,,1022.2,
7.0,2.5,9.4,4.8,,249.0,25.1,,1015.5,
6.7,3.2,10.3,,,240.0,14.5,,1027.0,
7.9,6.6,9.3,5.8,,238.0,21.3,,1017.7,
7.6,6.0,9.1,,,284.0,13.1,,1019.9,
3.8,-3.6,9.7,,,,8.7,,,
7.5,5.7,9.1,0.8,,246.0,16.0,,1013.0,
4.4,1.8,8.0,,,271.0,26.8,,1004.3,
5.1,1.4,8.4,,,272.0,15.3,,1010.5,
9.3,7.0,10.8,2.8,,256.0,20.3,,1002.4,
6.6,4.5,8.0,0.8,,324.0,15.6,,1014.9,
3.1,-2.6,9.5,,,,3.1,,1029.7,
6.1,2.8,10.0,0.5,,,9.0,,,
6.9,3.8,10.2,,,146.0,8.0,,1023.8,
9.3,6.3,11.6,1.5,,189.0,11.4,,,
10.3,7.2,12.2,1.8,,239.0,14.4,,1020.2,
5.5,2.0,10.1,,,266.0,8.3,,1027.6,
7.5,4.1,10.3,,,215.0,10.8,,1028.6,
10.7,9.1,12.0,1.5,,212.0,24.6,,1015.7,
8.8,6.7,10.6,5.6,,241.0,23.0,,1009.7,
7.8,5.5,10.1,7.9,,,,,,
5.7,,9.3,0.8,,,,,,
7.5,3.6,10.8,,,240.0,21.5,,1016.2,
8.8,4.7,11.1,8.1,,282.0,25.4,,1006.9,
4.5,1.5,7.3,,,293.0,16.4,,1026.7,
6.2,2.7,9.6,,,251.0,13.3,,1031.9,
8.8,5.8,11.3,,,233.0,16.8,,1026.7,
11.6,9.0,14.0,1.5,,257.0,24.6,,,
12.5,10.9,14.5,1.5,,244.0,23.7,,,
13.6,12.2,16.5,,,271.0,22.5,,1024.9,
11.4,8.3,13.8,,,244.0,16.4,,1026.5,
10.7,8.4,13.0,,,295.0,15.6,,1022.1,
10.3,6.5,14.3,,,266.0,10.0,,1026.2,
9.5,3.3,13.9,,,242.0,7.7,,1026.4,
10.5,6.6,13.1,,,284.0,22.1,,1024.3,
8.2,4.1,12.3,,,293.0,15.5,,1033.6,
9.5,6.9,11.8,,,291.0,12.7,,1034.1,
9.2,8.2,10.2,,,318.0,10.2,,1034.2,
8.3,,,,,,,,,
7.5,4.0,11.9,,,47.0,11.0,,1035.8,
7.6,1.8,13.9,,,,,,,
8.7,4.8,14.1,,,86.0,10.2,,1022.2,
8.5,3.0,16.0,,,,1.0,,1016.6,
10.0,4.5,14.6,,,,11.1,,1010.6,
10.3,7.1,14.4,2.8,,206.0,12.7,,1006.5,
8.7,5.9,11.9,3.0,,215.0,13.9,,1009.3,
6.3,1.6,11.2,,,,,,,
6.4,4.3,9.4,2.0,,14.0,16.8,,1013.6,
5.6,4.8,7.3,1.8,,29.0,20.4,,1020.5,
5.7,4.2,7.1,1.8,,41.0,21.8,,1017.3,
6.7,5.5,8.3,1.5,,30.0,15.3,,1014.4,
7.3,5.3,10.0,,,41.0,7.6,,1007.5,
8.2,5.2,12.4,0.8,,178.0,9.8,,1001.0,
10.8,8.6,14.1,,,149.0,12.8,,997.3,
8.0,4.6,10.0,19.8,,34.0,17.9,,989.1,
3.2,1.9,4.4,15.0,,1.0,22.8,,998.0,
5.5,2.5,9.6,1.5,,11.0,19.6,,1016.3,
5.7,0.3,10.6,,,62.0,13.6,,,
8.1,-0.2,15.1,,,,7.4,,1033.0,
9.8,2.0,17.3,,,,4.6,,,
9.8,6.3,14.8,4.8,,49.0,21.3,,1014.1,
8.0,4.3,11.6,,,63.0,16.3,,1014.1,
6.4,5.0,8.1,6.9,,203.0,9.9,,993.9,
4.4,2.9,6.9,4.3,,239.0,13.2,,983.7,
5.9,4.0,9.5,5.1,,273.0,13.5,,989.9,
6.7,4.0,10.2,,,352.0,9.3,,,
4.8,3.9,5.9,13.2,,13.0,19.0,,993.9,
8.1,3.6,13.5,,,139.0,12.1,,995.9,
9.4,6.9,12.4,6.1,,201.0,21.0,,993.0,
10.3,7.5,13.7,,,189.0,13.2,,1001.4,
12.3,8.3,17.5,,,194.0,12.2,,1006.1,
13.0,11.4,14.7,,,191.0,15.3,,1005.7,
11.9,,15.5,1.3,,,,,,
11.4,,15.8,0.5,,,,,,
11.4,7.2,15.1,,,230.0,8.5,,1010.0,
