,date,prcp
7671,2021-01-01,0.0
7672,2021-01-02,0.0
7673,2021-01-03,0.6
7674,2021-01-04,2.6
7675,2021-01-05,2.2
7676,2021-01-06,1.7
7677,2021-01-07,0.0
7678,2021-01-08,0.0
7679,2021-01-09,0.0
7680,2021-01-10,0.0
7681,2021-01-11,0.9
7682,2021-01-12,2.9
7683,2021-01-13,3.6
7684,2021-01-14,26.0
7685,2021-01-15,0.0
7686,2021-01-16,8.8
7687,2021-01-17,0.3
7688,2021-01-18,0.7
7689,2021-01-19,4.4
7690,2021-01-20,3.1
7691,2021-01-21,2.2
7692,2021-01-22,1.3
7693,2021-01-23,0.2
7694,2021-01-24,2.8
7695,2021-01-25,0.2
7696,2021-01-26,2.8
7697,2021-01-27,2.2
7698,2021-01-28,14.9
7699,2021-01-29,7.6
7700,2021-01-30,17.1
7701,2021-01-31,3.4
7702,2021-02-01,0.2
7703,2021-02-02,6.2
7704,2021-02-03,7.0
7705,2021-02-04,3.1
7706,2021-02-05,0.8
7707,2021-02-06,12.3
7708,2021-02-07,7.8
7709,2021-02-08,1.3
7710,2021-02-09,0.3
7711,2021-02-10,0.0
7712,2021-02-11,0.0
7713,2021-02-12,0.0
7714,2021-02-13,0.0
7715,2021-02-14,0.8
7716,2021-02-15,0.7
7717,2021-02-16,1.6
7718,2021-02-17,3.2
7719,2021-02-18,2.0
7720,2021-02-19,0.4
7721,2021-02-20,0.1
7722,2021-02-21,0.0
7723,2021-02-22,0.5
7724,2021-02-23,0.0
7725,2021-02-24,0.0
7726,2021-02-25,0.0
7727,2021-02-26,0.0
7728,2021-02-27,0.0
7729,2021-02-28,0.0
7730,2021-03-01,0.0
7731,2021-03-02,0.0
7732,2021-03-03,2.5
7733,2021-03-04,1.8
7734,2021-03-05,0.0
7735,2021-03-06,0.0
7736,2021-03-07,0.0
7737,2021-03-08,0.1
7738,2021-03-09,0.0
7739,2021-03-10,7.6
7740,2021-03-11,0.9
7741,2021-03-12,0.8
7742,2021-03-13,3.1
7743,2021-03-14,1.3
7744,2021-03-15,0.9
7745,2021-03-16,1.6
7746,2021-03-17,1.4
7747,2021-03-18,2.7
7748,2021-03-19,0.3
7749,2021-03-20,0.0
7750,2021-03-21,0.1
7751,2021-03-22,0.0
7752,2021-03-23,0.0
7753,2021-03-24,0.0
7754,2021-03-25,0.7
7755,2021-03-26,2.8
7756,2021-03-27,0.0
7757,2021-03-28,0.0
7758,2021-03-29,0.0
7759,2021-03-30,0.0
7760,2021-03-31,0.0
7761,2021-04-01,0.0
7762,2021-04-02,0.0
7763,2021-04-03,0.0
7764,2021-04-04,0.0
7765,2021-04-05,0.1
7766,2021-04-06,0.2
7767,2021-04-07,0.0
7768,2021-04-08,0.0
7769,2021-04-09,1.0
7770,2021-04-10,0.1
7771,2021-04-11,0.3
7772,2021-04-12,0.8
7773,2021-04-13,0.2
7774,2021-04-14,0.0
7775,2021-04-15,2.8
7776,2021-04-16,0.0
7777,2021-04-17,0.0
7778,2021-04-18,0.0
7779,2021-04-19,0.0
7780,2021-04-20,0.0
7781,2021-04-21,0.3
7782,2021-04-22,0.0
7783,2021-04-23,0.0
7784,2021-04-24,0.0
7785,2021-04-25,0.0
7786,2021-04-26,0.0
7787,2021-04-27,0.0
7788,2021-04-28,1.7
7789,2021-04-29,0.1
7790,2021-04-30,0.4
7791,2021-05-01,1.4
7792,2021-05-02,0.5
7793,2021-05-03,6.5
7794,2021-05-04,2.6
7795,2021-05-05,4.7
7796,2021-05-06,1.1
7797,2021-05-07,0.0
7798,2021-05-08,10.2
7799,2021-05-09,1.4
7800,2021-05-10,2.4
7801,2021-05-11,1.9
7802,2021-05-12,0.4
7803,2021-05-13,7.3
7804,2021-05-14,0.0
7805,2021-05-15,2.9
7806,2021-05-16,6.7
7807,2021-05-17,4.5
7808,2021-05-18,3.1
7809,2021-05-19,3.6
7810,2021-05-20,0.4
7811,2021-05-21,1.2
7812,2021-05-22,2.7
7813,2021-05-23,5.4
7814,2021-05-24,3.2
7815,2021-05-25,0.8
7816,2021-05-26,0.4
7817,2021-05-27,0.0
7818,2021-05-28,0.5
7819,2021-05-29,0.1
7820,2021-05-30,0.0
7821,2021-05-31,0.0
7822,2021-06-01,0.0
7823,2021-06-02,0.3
7824,2021-06-03,0.0
7825,2021-06-04,9.7
7826,2021-06-05,0.0
7827,2021-06-06,0.3
7828,2021-06-07,0.7
7829,2021-06-08,0.0
7830,2021-06-09,0.0
7831,2021-06-10,0.0
7832,2021-06-11,0.0
7833,2021-06-12,0.0
7834,2021-06-13,0.0
7835,2021-06-14,0.2
7836,2021-06-15,0.0
7837,2021-06-16,2.9
7838,2021-06-17,15.0
7839,2021-06-18,23.0
7840,2021-06-19,0.9
7841,2021-06-20,2.4
7842,2021-06-21,5.7
7843,2021-06-22,0.4
7844,2021-06-23,0.0
7845,2021-06-24,1.3
7846,2021-06-25,5.4
7847,2021-06-26,0.0
7848,2021-06-27,9.7
7849,2021-06-28,5.7
7850,2021-06-29,4.1
7851,2021-06-30,0.7
7852,2021-07-01,0.0
7853,2021-07-02,1.0
7854,2021-07-03,6.0
7855,2021-07-04,7.8
7856,2021-07-05,3.6
7857,2021-07-06,11.4
7858,2021-07-07,2.6
7859,2021-07-08,1.3
7860,2021-07-09,0.5
7861,2021-07-10,2.1
