,date,tavg
0,2022-01-01,6.155823
1,2022-01-02,5.2355084
2,2022-01-03,5.1617737
3,2022-01-04,5.015687
4,2022-01-05,4.381286
5,2022-01-06,5.38436
6,2022-01-07,4.5885625
7,2022-01-08,2.9879835
8,2022-01-09,1.5644671
9,2022-01-10,1.5172626
10,2022-01-11,1.5172626
11,2022-01-12,1.2416445
12,2022-01-13,1.9054301
13,2022-01-14,1.5172626
14,2022-01-15,1.470424
15,2022-01-16,0.8516515
16,2022-01-17,1.1526036
17,2022-01-18,2.108785
18,2022-01-19,3.165073
19,2022-01-20,11.066207
20,2022-01-21,9.547048
21,2022-01-22,7.223609
22,2022-01-23,7.826627
23,2022-01-24,8.90049
24,2022-01-25,8.090575
25,2022-01-26,8.90049
26,2022-01-27,6.235417
27,2022-01-28,6.155823
28,2022-01-29,10.016413
29,2022-01-30,7.739358
