,date,tmax
3653,2010-01-01,3.2
3654,2010-01-02,5.4
3655,2010-01-03,3.2
3656,2010-01-04,1.9
3657,2010-01-05,3.2
3658,2010-01-06,1.9
3659,2010-01-07,1.3
3660,2010-01-08,1.5
3661,2010-01-09,1.4
3662,2010-01-10,2.7
3663,2010-01-11,3.1
3664,2010-01-12,3.2
3665,2010-01-13,3.1
3666,2010-01-14,5.1
3667,2010-01-15,7.4
3668,2010-01-16,8.8
3669,2010-01-17,9.5
3670,2010-01-18,8.8
3671,2010-01-19,8.8
3672,2010-01-20,6.1
3673,2010-01-21,7.0
3674,2010-01-22,9.3
3675,2010-01-23,8.6
3676,2010-01-24,6.6
3677,2010-01-25,5.2
3678,2010-01-26,2.0
3679,2010-01-27,7.1
3680,2010-01-28,7.4
3681,2010-01-29,5.9
3682,2010-01-30,4.1
3683,2010-01-31,4.2
3684,2010-02-01,4.7
3685,2010-02-02,8.0
3686,2010-02-03,9.0
3687,2010-02-04,9.0
3688,2010-02-05,11.0
3689,2010-02-06,6.6
3690,2010-02-07,5.2
3691,2010-02-08,3.0
3692,2010-02-09,5.1
3693,2010-02-10,2.0
3694,2010-02-11,3.0
3695,2010-02-12,4.4
3696,2010-02-13,3.0
3697,2010-02-14,4.0
3698,2010-02-15,3.8
3699,2010-02-16,5.6
3700,2010-02-17,7.0
3701,2010-02-18,6.0
3702,2010-02-19,6.4
3703,2010-02-20,6.0
3704,2010-02-21,7.0
3705,2010-02-22,4.4
3706,2010-02-23,4.1
3707,2010-02-24,10.0
3708,2010-02-25,9.5
3709,2010-02-26,9.0
3710,2010-02-27,10.0
3711,2010-02-28,6.9
3712,2010-03-01,9.0
3713,2010-03-02,9.0
3714,2010-03-03,5.0
3715,2010-03-04,6.0
3716,2010-03-05,8.0
3717,2010-03-06,5.0
3718,2010-03-07,4.8
3719,2010-03-08,6.0
3720,2010-03-09,7.7
3721,2010-03-10,5.0
3722,2010-03-11,5.9
3723,2010-03-12,8.0
3724,2010-03-13,8.7
3725,2010-03-14,11.0
3726,2010-03-15,12.7
3727,2010-03-16,12.0
3728,2010-03-17,15.0
